Food,Amount,Calories,Protein,Carbohydrates,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat
Chicken Katsu Curry, 1 serving,541, 33g, 45g, 16g, 0g, 0g, 0g
Jasmine Rice, 1 cup,205, 4g, 44g, 0g, 0g, 0g, 0g
